name,area,area_offshore,carrier,country,v_nom,x,y
HiepHoa,,,AC,VN,500,105.904364,21.335112
LaiChauH,,,AC,VN,500,102.984253,22.137909
DongAnh,,,AC,VN,500,105.897505,21.163109
SonLa,,,AC,VN,500,104.001312,21.537377
SonLaH,,,AC,VN,500,103.996409,21.497521
MongDuong1,,,AC,VN,500,107.346737,21.073995
MongDuong2,,,AC,VN,500,107.349981,21.073477
QuangNinh,,,AC,VN,500,107.130358,21.038549
NghiSon,,,AC,VN,500,105.720356,19.315539
HoaBinh,,,AC,VN,500,105.325697,21.812889
ThangLongT,,,AC,VN,500,107.016008,21.022664
ThuongTin,,,AC,VN,500,105.854483,20.878
PhoNoi,,,AC,VN,500,106.113021,20.988776
NhoQuan,,,AC,VN,500,105.734524,20.314207
HaTinh,,,AC,VN,500,105.888208,18.251931
VungAng,,,AC,VN,500,106.386608,18.093527
DaNang,,,AC,VN,500,108.159859,16.00965
DocSoi,,,AC,VN,500,108.739289,15.336773
ThanhMy,,,AC,VN,500,107.717474,15.676199
Pleiku,,,AC,VN,500,107.946212,14.102545
Pleiku2,,,AC,VN,500,107.961632,13.90364
Yali,,,AC,VN,500,107.829401,14.228042
DakNong,,,AC,VN,500,107.636074,11.967857
DiLinh,,,AC,VN,500,108.090303,11.611352
CauBong,,,AC,VN,500,106.568759,10.940885
TanDinh,,,AC,VN,500,106.687135,11.040578
SongMay,,,AC,VN,500,106.954003,10.971434
VinhTan,,,AC,VN,500,108.803291,11.31856
PhuLam,,,AC,VN,500,106.601818,10.738895
MyTho,,,AC,VN,500,106.194328,10.411522
DuyenHai,,,AC,VN,500,106.523088,9.582656
ChonThanh,,,AC,VN,500,106.657407,11.437022
OMon,,,AC,VN,500,105.671303,10.133744
CuChi,,,AC,VN,500,106.443423,11.092218
NhaBe,,,AC,VN,500,106.718664,10.701478
PhuMy,,,AC,VN,500,107.040194,10.606499
LaiChau,,,AC,VN,500,103.045494,22.139489
TayHaNoi,,,AC,VN,500,105.651065,20.975093
VietTri,,,AC,VN,500,105.313538,21.448376
VanPhong,,,AC,VN,500,109.231765,12.526838
CongThanh,,,AC,VN,500,105.789179,19.356698
NamDinh1,,,AC,VN,500,106.201802,20.107869
LongPhu,,,AC,VN,500,106.079211,9.710861
DucHoa,,,AC,VN,500,106.416844,10.854121
TanUyen,,,AC,VN,500,106.765621,10.998271
LongThanh,,,AC,VN,500,107.405913,10.964629
