name,bus,capital_cost,carrier,efficiency,marginal_cost,p_nom,p_nom_extendable,p_nom_max
HiepHoa OCGT,HiepHoa,63800.0,OCGT,0.43,58.14,0.0,True,inf
HiepHoa solar,HiepHoa,74160.0,solar,1.0,0.0,0.0,True,inf
HiepHoa windon,HiepHoa,146160.0,windon,1.0,0.0,0.0,True,inf
LaiChauH OCGT,LaiChauH,63800.0,OCGT,0.43,58.14,0.0,True,inf
LaiChauH solar,LaiChauH,74160.0,solar,1.0,0.0,0.0,True,inf
LaiChauH windon,LaiChauH,146160.0,windon,1.0,0.0,0.0,True,inf
DongAnh OCGT,DongAnh,63800.0,OCGT,0.43,58.14,0.0,True,inf
DongAnh solar,DongAnh,74160.0,solar,1.0,0.0,0.0,True,inf
DongAnh windon,DongAnh,146160.0,windon,1.0,0.0,0.0,True,inf
SonLa OCGT,SonLa,63800.0,OCGT,0.43,58.14,0.0,True,inf
SonLa solar,SonLa,74160.0,solar,1.0,0.0,0.0,True,inf
SonLa windon,SonLa,146160.0,windon,1.0,0.0,0.0,True,inf
SonLaH OCGT,SonLaH,63800.0,OCGT,0.43,58.14,0.0,True,inf
SonLaH solar,SonLaH,74160.0,solar,1.0,0.0,0.0,True,inf
SonLaH windon,SonLaH,146160.0,windon,1.0,0.0,0.0,True,inf
MongDuong1 OCGT,MongDuong1,63800.0,OCGT,0.43,58.14,0.0,True,inf
MongDuong1 solar,MongDuong1,74160.0,solar,1.0,0.0,0.0,True,inf
MongDuong1 windon,MongDuong1,146160.0,windon,1.0,0.0,0.0,True,inf
MongDuong2 OCGT,MongDuong2,63800.0,OCGT,0.43,58.14,0.0,True,inf
MongDuong2 solar,MongDuong2,74160.0,solar,1.0,0.0,0.0,True,inf
MongDuong2 windon,MongDuong2,146160.0,windon,1.0,0.0,0.0,True,inf
QuangNinh OCGT,QuangNinh,63800.0,OCGT,0.43,58.14,0.0,True,inf
QuangNinh solar,QuangNinh,74160.0,solar,1.0,0.0,0.0,True,inf
QuangNinh windon,QuangNinh,146160.0,windon,1.0,0.0,0.0,True,inf
