name,bus0,bus1,length,b,r,s_nom,x,s_nom_extendable,capital_cost
1,LaiChauH,SonLa,158.5,0.6726106,4.39045,0,44.68115,TRUE,0.01
2,LaiChau,SonLa,159.97,0.678848692,4.431169,0,45.095543,TRUE,0.01
3,LaiChau,LaiChauH,1.47,0.006238092,0.040719,0,0.414393,TRUE,0.01
4,SonLaH,SonLa,4.8,0.02036928,0.13296,0,1.35312,TRUE,0.01
5,SonLa,HiepHoa,264.7,1.12328092,7.33219,0,74.61893,TRUE,0.01
6,SonLa,VietTri,181,0.7680916,5.0137,0,51.0239,TRUE,0.01
7,VietTri,HiepHoa,93,0.3946548,2.5761,0,26.2167,TRUE,0.01
8,SonLa,LaiChauH,206,0.8741816,5.7062,0,58.0714,TRUE,0.01
9,SonLaH,NhoQuan,206,0.8741816,5.7062,0,58.0714,TRUE,0.01
10,HoaBinh,NhoQuan,206,0.8741816,5.7062,0,58.0714,TRUE,0.01
11,NhoQuan,ThuongTin,75,0.31827,2.0775,0,21.1425,TRUE,0.01
12,TayHaNoi,ThuongTin,40,0.169744,1.108,0,11.276,TRUE,0.01
13,ThuongTin,PhoNoi,34.2,0.14513112,0.94734,0,9.64098,TRUE,0.01
14,HiepHoa,DongAnh,23,0.0976028,0.6371,0,6.4837,TRUE,0.01
15,DongAnh,PhoNoi,22.2,0.09420792,0.61494,0,6.25818,TRUE,0.01
16,PhoNoi,HiepHoa,71,0.3012956,1.9667,0,20.0149,TRUE,0.01
17,NamDinh1,PhoNoi,133,0.5643988,3.6841,0,37.4927,TRUE,0.01
18,HiepHoa,QuangNinh,141.3,0.59962068,3.91401,0,39.83247,TRUE,0.01
19,PhoNoi,QuangNinh,137,0.5813732,3.7949,0,38.6203,TRUE,0.01
20,ThangLongT,PhoNoi,128,0.5431808,3.5456,0,36.0832,TRUE,0.01
21,ThangLongT,QuangNinh,19,0.0806284,0.5263,0,5.3561,TRUE,0.01
22,QuangNinh,MongDuong1,25,0.10609,0.6925,0,7.0475,TRUE,0.01
23,QuangNinh,MongDuong2,25,0.10609,0.6925,0,7.0475,TRUE,0.01
24,NhoQuan,NghiSon,119,0.5049884,3.2963,0,33.5461,TRUE,0.01
25,CongThanh,NghiSon,10,0.042436,0.277,0,2.819,TRUE,0.01
26,NghiSon,HaTinh,188,0.7977968,5.2076,0,52.9972,TRUE,0.01
27,VungAng,HaTinh,70,0.297052,1.939,0,19.733,TRUE,0.01
28,HaTinh,DaNang,393,1.6677348,10.8861,0,110.7867,TRUE,0.01
29,VungAng,DaNang,354,1.5022344,9.8058,0,99.7926,TRUE,0.01
