name,bus,capital_cost,carrier,efficiency,marginal_cost,p_nom,p_nom_extendable,p_nom_max,weight
HiepHoa OCGT,HiepHoa,14666,OCGT,0.39,64,0,TRUE,inf,
HiepHoa solar,HiepHoa,33000,solar,0.5,0.02,0,TRUE,122248.5859,19014.69576
HiepHoa windon,HiepHoa,65000,windon,0.7,0.03,0,TRUE,19444.76093,5200.39295
HiepHoa hydro,HiepHoa,10000,hydro,0.95,8,0,TRUE,30000,5200.39295
LaiChauH OCGT,LaiChauH,14666,OCGT,0.39,64,0,TRUE,inf,
LaiChauH solar,LaiChauH,33000,solar,0.5,0.02,0,TRUE,122248.5859,19014.69576
LaiChauH windon,LaiChauH,65000,windon,0.7,0.03,0,TRUE,19444.76093,5200.39295
LaiChauH hydro,LaiChauH,10000,hydro,0.95,8,0,TRUE,30000,5200.39295
DongAnh OCGT,DongAnh,14666,OCGT,0.39,64,0,TRUE,inf,
DongAnh solar,DongAnh,33000,solar,0.5,0.02,0,TRUE,122248.5859,19014.69576
DongAnh windon,DongAnh,65000,windon,0.7,0.03,0,TRUE,19444.76093,5200.39295
DongAnh hydro,DongAnh,10000,hydro,0.95,8,0,TRUE,30000,5200.39295
SonLa OCGT,SonLa,14666,OCGT,0.39,64,0,TRUE,inf,
SonLa solar,SonLa,33000,solar,0.5,0.02,0,TRUE,122248.5859,19014.69576
SonLa windon,SonLa,65000,windon,0.7,0.03,0,TRUE,19444.76093,5200.39295
SonLa hydro,SonLa,10000,hydro,0.95,8,0,TRUE,30000,5200.39295
SonLaH OCGT,SonLaH,14666,OCGT,0.39,64,0,TRUE,inf,
SonLaH solar,SonLaH,33000,solar,0.5,0.02,0,TRUE,122248.5859,19014.69576
SonLaH windon,SonLaH,65000,windon,0.7,0.03,0,TRUE,19444.76093,5200.39295
SonLaH hydro,SonLaH,10000,hydro,0.95,8,0,TRUE,30000,5200.39295
MongDuong1 OCGT,MongDuong1,14666,OCGT,0.39,64,0,TRUE,inf,
MongDuong1 solar,MongDuong1,33000,solar,0.5,0.02,0,TRUE,122248.5859,19014.69576
MongDuong1 windon,MongDuong1,65000,windon,0.7,0.03,0,TRUE,19444.76093,5200.39295
MongDuong1 hydro,MongDuong1,10000,hydro,0.95,8,0,TRUE,30000,5200.39295
MongDuong2 OCGT,MongDuong2,14666,OCGT,0.39,64,0,TRUE,inf,
MongDuong2 solar,MongDuong2,33000,solar,0.5,0.02,0,TRUE,122248.5859,19014.69576
MongDuong2 windon,MongDuong2,65000,windon,0.7,0.03,0,TRUE,19444.76093,5200.39295
MongDuong2 hydro,MongDuong2,10000,hydro,0.95,8,0,TRUE,30000,5200.39295
QuangNinh OCGT,QuangNinh,14666,OCGT,0.39,64,0,TRUE,inf,
QuangNinh solar,QuangNinh,33000,solar,0.5,0.02,0,TRUE,122248.5859,19014.69576
QuangNinh windon,QuangNinh,65000,windon,0.7,0.03,0,TRUE,19444.76093,5200.39295
QuangNinh hydro,QuangNinh,10000,hydro,0.95,8,0,TRUE,30000,5200.39295
