,bus,p_nom,max_hours,inflow,p_min_pu
HiepHoa hydro,HiepHoa,6.39,11.7605633803,0.913242009132,0.0
LaiChauH hydro,LaiChauH,1205.0,1.02875377593,607.124429224,0.0
SonLa hydro,SonLa,1163.4,0.382960288809,395.547945205,0.0
SonLaH hydro,SonLaH,2638.6,0.632509740014,1093.94977169,0.0
NghiSon hydro,NghiSon,393.0,0.915096183206,131.96347032,0.0
HoaBinh hydro,HoaBinh,639.1,1.46242156157,262.953196347,0.0
NhoQuan hydro,NhoQuan,357.0,3.45057983193,180.251141553,0.0
HaTinh hydro,HaTinh,55.3,1.44585895118,25.0,0.0
DaNang hydro,DaNang,21.0,5.53714285714,9.70319634703,0.0
DocSoi hydro,DocSoi,169.1,0.572173270254,68.4931506849,0.0
ThanhMy hydro,ThanhMy,1349.0,0.529034544107,557.157534247,0.0
Pleiku hydro,Pleiku,141.5,0.431402120141,37.6484018265,0.0
Pleiku2 hydro,Pleiku2,285.5,0.367313485114,79.9086757991,0.0
Yali hydro,Yali,1927.1,0.312185906284,841.700913242,0.0
DakNong hydro,DakNong,1781.5,0.332787718215,763.287671233,0.0
DiLinh hydro,DiLinh,1141.1,0.257549382175,498.378995434,0.0
SongMay hydro,SongMay,400.0,1.24425,194.063926941,0.0
ChonThanh hydro,ChonThanh,282.0,1.03710638298,132.305936073,0.0
LaiChau hydro,LaiChau,496.5,0.124415347432,141.780821918,0.0
TayHaNoi hydro,TayHaNoi,1920.0,0.876421875,1051.94063927,0.0
VanPhong hydro,VanPhong,360.0,0.3945,169.714611872,0.0
